Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
LDA,Original,Baseline,0.45,0.8449290110504966,0.7998883617080659,0.698359276398822,0.7051826677994902,0.6916666666666667,0.8502818960116935,0.8462177888611804,0.8543852287033151,0.6943282583235737
LDA,Original,Baseline,0.5,0.8449290110504966,0.7965392129500418,0.6749888542131074,0.725790987535954,0.6308333333333334,0.8519195612431444,0.8255905511811024,0.8799832144355854,0.6477836727708369
LDA,Original,Baseline,0.55,0.8449290110504966,0.7903991068936645,0.6534379326257499,0.7321613236814891,0.59,0.8497699539907981,0.8119266055045872,0.8913134704154427,0.613837350442171
LDA,Original,Baseline,0.6,0.8449290110504966,0.7803516606195925,0.6218164344065353,0.7343927355278093,0.5391666666666667,0.8452310717797443,0.7953367875647669,0.9018044481745698,0.5694419996479493
LDA,Original,Baseline,0.65,0.8449290110504966,0.7764443204018978,0.6016907011437096,0.7459926017262639,0.5041666666666667,0.8446168768186227,0.7853535353535354,0.9135543432647922,0.5391195865264659
LDA,Original,Tuned,0.35,0.8447566093159883,0.7811889478090985,0.7028051554207733,0.6446453407510431,0.7725,0.8268551236749117,0.8727272727272727,0.7855644146034411,0.7430266110932991
LDA,Original,Tuned,0.4,0.8447566093159883,0.7996092659782306,0.7111826226870475,0.687402799377916,0.7366666666666667,0.8465811965811966,0.8624292555507184,0.8313050776332355,0.7262569832402235
LDA,Original,Tuned,0.45,0.8447566093159883,0.7976555958693832,0.6937051119560625,0.7035132819194516,0.6841666666666667,0.8489268597624505,0.8431291390728477,0.8548048678136803,0.6879503938327468
LDA,Original,Tuned,0.5,0.8447566093159883,0.7968183086798772,0.6755793226381461,0.7260536398467433,0.6316666666666667,0.8520926452661519,0.8259157148483655,0.8799832144355854,0.6485284052019165
LDA,Original,Tuned,0.55,0.8447566093159883,0.7903991068936645,0.6534379326257499,0.7321613236814891,0.59,0.8497699539907981,0.8119266055045872,0.8913134704154427,0.613837350442171
LDA,Original,Tuned,0.6,0.8447566093159883,0.7806307563494278,0.6221153846153846,0.7352272727272727,0.5391666666666667,0.8454581203303185,0.7954125046244913,0.902224087284935,0.5695422535211268
LDA,Original,Tuned,0.65,0.8447566093159883,0.7756070332123919,0.599601593625498,0.745049504950495,0.5016666666666667,0.8441256300891818,0.7845045045045045,0.9135543432647922,0.5367332382310984
Decision Tree,Original,Baseline,0.35,0.702960728773255,0.7102986324309238,0.6088922381311228,0.5557083906464925,0.6733333333333333,0.7699468085106383,0.8158759981211836,0.7289131347041544,0.6459865685960985
Decision Tree,Original,Baseline,0.4,0.702960728773255,0.7102986324309238,0.6088922381311228,0.5557083906464925,0.6733333333333333,0.7699468085106383,0.8158759981211836,0.7289131347041544,0.6459865685960985
Decision Tree,Original,Baseline,0.45,0.702960728773255,0.7102986324309238,0.6088922381311228,0.5557083906464925,0.6733333333333333,0.7699468085106383,0.8158759981211836,0.7289131347041544,0.6459865685960985
Decision Tree,Original,Baseline,0.5,0.702960728773255,0.7102986324309238,0.6088922381311228,0.5557083906464925,0.6733333333333333,0.7699468085106383,0.8158759981211836,0.7289131347041544,0.6459865685960985
Decision Tree,Original,Baseline,0.55,0.702960728773255,0.7125313982696064,0.6104387291981845,0.5588642659279779,0.6725,0.7722246793454224,0.8162692847124825,0.7326898866974402,0.6462203715566944
Decision Tree,Original,Baseline,0.6,0.702960728773255,0.7114150153502652,0.6083333333333333,0.5576388888888889,0.6691666666666667,0.7715422006186479,0.8147456836210919,0.7326898866974402,0.6434294871794872
Decision Tree,Original,Baseline,0.65,0.702960728773255,0.7122523025397711,0.6087286527514232,0.5588850174216028,0.6683333333333333,0.7724564113882145,0.8147113594040968,0.7343684431389006,0.6431435445068163
Decision Tree,Original,Tuned,0.35,0.8797903552944467,0.8018420318169132,0.7306525037936267,0.6706128133704735,0.8025,0.8432671081677704,0.8896134140661388,0.8015107007973143,0.7721295702373316
Decision Tree,Original,Tuned,0.4,0.8797903552944467,0.8297516048004465,0.7479338842975206,0.7418032786885246,0.7541666666666667,0.8714707121786768,0.8751586965721541,0.8678136802349979,0.7516611295681063
Decision Tree,Original,Tuned,0.45,0.8797903552944467,0.8342171364778119,0.7406113537117904,0.7779816513761468,0.7066666666666667,0.8781788351107465,0.8588046530284797,0.8984473352916492,0.7198641765704584
